OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
18	1	1	1044.50376	611.11581	800.00000	589.52116
18	2	0	1154.88722	595.32294	903.45865	591.71492
18	3	0	1028.35338	673.01336	783.54135	650.47884
18	3	1	873.76692	607.46771	650.00752	573.50780
18	4	0	996.09023	655.45657	807.21805	636.21381
18	5	0	743.45865	756.48107	575.03759	709.57684
18	6	0	1391.63158	496.75056	1141.12782	507.26281
18	6	1	1220.20301	508.17595	953.45865	502.45212
18	7	0	1026.22556	567.95100	369.96992	520.83073
18	7	1	1376.30075	545.70156	661.09774	523.83742
18	8	0	1153.03008	371.29176	900.14286	355.27617
18	8	1	1008.66917	442.24944	771.42105	416.01114
18	9	0	1504.96241	654.64811	1344.96241	690.55457
18	9	1	1696.84211	631.79733	1532.63158	685.14254
18	10	0	1545.26316	703.35635	1431.57895	751.28953
18	10	1	1686.01504	690.72829	1562.10526	753.69488
18	11	0	1686.61654	1064.36526	691.72932	1072.78396
18	12	0	1894.73684	978.97550	691.72932	976.57016
18	13	0	1849.02256	780.53452	1785.26316	883.96437
18	14	0	1846.61654	678.30735	1915.18797	788.95323
18	15	0	1142.85714	722.80624	887.81955	703.56347
18	16	0	1690.22556	705.50111	1729.92481	783.22940
18	16	1	1808.72180	697.68374	1863.45865	794.05345
18	17	0	796.39098	980.17817	508.87218	918.84187
18	18	0	1258.34586	805.79065	963.60902	813.00668
18	19	0	1116.46617	651.81069	896.87218	639.61470
18	19	1	1292.70677	625.35189	1061.68421	633.00000
18	20	0	555.57143	624.08241	440.88722	565.55457
18	20	1	682.48872	660.16258	552.16541	611.25612
18	21	0	483.14286	748.48552	479.39850	684.26281
18	21	1	576.37594	713.60802	570.82707	659.00668
18	22	0	671.27820	799.77728	552.18045	744.45434
18	23	0	1404.14286	892.38307	1104.85714	916.43653
18	23	1	1230.30827	886.36971	958.09023	888.17372
18	24	0	1447.81955	674.02673	1193.30075	697.83742
18	24	1	1624.66165	655.38530	1370.74436	697.23608
18	25	0	1814.73684	746.41871	1811.12782	839.46548
18	25	1	1680.60150	715.75056	1668.57143	790.15590
18	26	0	1174.50376	894.18708	819.63158	884.56570
18	26	1	1348.33835	902.60579	995.87218	915.83519
18	27	0	1306.53383	634.61915	986.38346	632.87973
18	27	1	1493.00000	652.05791	1157.81203	670.76392
18	28	0	1181.91729	945.90200	866.51880	939.28731
18	28	1	1333.49624	914.03118	1044.56391	923.65256
18	29	0	1194.58647	586.90423	937.14286	584.49889
18	30	0	1760.83945	890.59701	1327.68101	961.11940
18	30	1	991.22770	1015.52239	513.74607	967.16418
18	31	0	1555.34103	606.49254	1382.07765	642.76119
18	31	1	707.15635	785.82090	558.06925	731.41791
19	0	0	556.27723	645.32673	369.32673	651.37624
19	0	1	458.45545	657.00990	241.80198	662.06931
19	1	0	1567.76119	545.34956	1195.74627	511.02655
19	1	1	1395.82090	538.18142	1020.82090	511.02655
19	2	0	980.10448	964.71239	588.65672	943.80531
19	2	1	799.20896	841.06195	413.73134	820.15487
19	3	0	984.22388	962.92035	592.55224	942.61062
19	3	1	799.14925	855.39823	405.08955	833.29646
19	4	0	649.55224	529.24779	420.29851	538.80531
19	5	0	1459.10448	683.36283	1268.05970	665.44248
19	6	0	472.83582	333.31858	3.58209	338.09735
19	7	0	1064.71642	586.96018	755.02985	574.49115
19	7	1	888.59701	554.70354	563.38806	546.41593
19	8	0	1571.34328	529.24779	500.29851	464.73451
19	9	0	1085.86567	588.90708	770.65672	574.97345
19	9	1	1226.76119	555.45575	889.46269	536.74336
19	10	0	1371.94030	442.03540	1010.14925	415.75221
19	11	0	1256.11940	461.15044	846.56716	426.50442
19	12	0	267.46269	677.17699	173.62687	686.48673
19	12	1	390.44776	662.84071	279.89552	669.16372
19	13	0	105.07463	521.15044	60.29851	552.34956
19	13	1	225.07463	532.50000	160.59701	554.73894
