"sample","family","genus","species","length","range","number","mass.g","length.cm","campaignid","latitude","longitude","date.time","location","status","depth","successful.count","successful.length","id"
"12","Lethrinidae","Lethrinus","rubrioperculatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Lutjanidae","Aphareus","rutilans",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Lutjanidae","Lutjanus","lemniscatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Lutjanidae","Lutjanus","sebae",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Microdesmidae","Ptereleotris","heteroptera",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Mullidae","Parupeneus","cyclostomus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Mullidae","Parupeneus","spilurus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Nemipteridae","Pentapodus","nagasakiensis",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Pinguipedidae","Parapercis","nebulosa",86.22911,1880.68914,1,5.20616274558197,8.622911,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Pomacanthidae","Pomacanthus","semicirculatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
